이벤트,소스,매체,사용자수
ga4-btn-home-freetrial,google , cpc,655
sign-up-create-account-social,(direct) , (none),243
sign-up-create-account-social,google , cpc,243
ga4-btn-policy-social-next,google , cpc,222
ga4-btn-policy-social-next,(direct) , (none),210
sign_up,(direct) , (none),87
ga4-btn-gnb-freetrial,google , cpc,87
ga4-btn-shopinfo-next,(direct) , (none),91
sign_up,google , cpc,77
ga4-btn-shopinfo-next,google , cpc,82
start_sign_up,(direct) , (none),54
ga4-btn-gnb-freetrial,(direct) , (none),20
ga4-btn-home-freetrial,naver , cpc,50
sign-up-create-account-social,naver , cpc,19
sign-up-create-account-social,(data not available),,14
sign_up_create_account,(direct) , (none),32
ga4-btn-home-freetrial,(data not available),,29
ga4-btn-policy-next,(direct) , (none),24
start_sign_up,google , cpc,19
ga4-btn-gnb-freetrial,(data not available),,20
ga4-btn-home-freetrial,(direct) , (none),21
sign_up,google , organic,14
sign-up-create-account-social,google , organic,15
ga4-btn-shopinfo-next,google , organic,13
ga4-btn-policy-social-next,naver , cpc,18
ga4-btn-policy-social-next,google , organic,9
sign_up,BS , brand_search_pc,7
ga4-btn-home-freetrial,google , organic,10
ga4-btn-policy-social-next,(data not available),,12
ga4-btn-gnb-freetrial,google , organic,11
sign_up,naver , cpc,6
start_sign_up,google , organic,9
sign-up-create-account-social,bing , organic,1
sign-up-create-account-social,m.search.naver.com , referral,3
ga4-btn-shopinfo-next,naver , cpc,7
sign_up,(data not available),,6
sign_up_create_account,google , organic,6
sign_up_create_account,sizeofc.cafe24.com , referral,2
ga4-btn-policy-next,google , organic,6
ga4-btn-shopinfo-next,BS , brand_search_pc,6
sign-up-create-account-social,BS , brand_search_pc,6
sign-up-create-account-social,naver , organic,3
sign_up_create_account,BS , brand_search_pc,5
ga4-btn-home-freetrial,viimstudio , banner,6
ga4-btn-policy-social-next,viimstudio , banner,6
ga4-btn-shopinfo-next,(data not available),,6
sign-up-create-account-social,accounts.google.com , referral,6
sign-up-create-account-social,viimstudio , banner,6
ga4-btn-gnb-freetrial,naver , cpc,5
ga4-btn-policy-next,BS , brand_search_pc,4
sign_up,accounts.google.com , referral,4
sign_up,naver , organic,3
sign_up_create_account,naver , cpc,3
sign_up_create_account,qhdrus123.cafe24.com , referral,4
sign_up_create_account,vcservice.cafe24.com , referral,2
start_sign_up,api.shop-pro.jp , referral,2
start_sign_up,naver , cpc,3
ga4-btn-gnb-freetrial,BS , brand_search_pc,3
ga4-btn-home-freetrial,BS , brand_search_pc,3
ga4-btn-home-freetrial,naverblog , blog,2
ga4-btn-home-freetrial,survey , cta,4
ga4-btn-policy-next,google , cpc,4
ga4-btn-policy-social-next,naver , organic,3
ga4-btn-shopinfo-next,accounts.google.com , referral,3
sign_up_create_account,google , cpc,4
ga4-btn-gnb-freetrial,m.search.naver.com , referral,3
ga4-btn-gnb-freetrial,naver , organic,2
ga4-btn-home-freetrial,naver , organic,3
ga4-btn-multiplayer-free,naver , cpc,3
ga4-btn-playlist-free,google , organic,3
ga4-btn-policy-social-next,BS , brand_search_pc,3
ga4-btn-policy-social-next,accounts.google.com , referral,3
ga4-btn-policy-social-next,m.search.naver.com , referral,3
ga4-btn-shopinfo-next,naver , organic,3
sign-up-create-account-social,aoyukr.cafe24.com , referral,1
sign-up-create-account-social,blog , ebook2,1
sign-up-create-account-social,fs6066.cafe24.com , referral,1
sign-up-create-account-social,naverblog , blog,1
sign-up-create-account-social,sizeofc.cafe24.com , referral,1
sign-up-create-account-social,survey , cta,1
sign_up,monamhee.cafe24.com , referral,1
sign_up,sabon11.cafe24.com , referral,2
sign_up,sungchun007.cafe24.com , referral,2
ga4-btn-gnb-freetrial,blog , ebook2,2
ga4-btn-home-footer-freetrial,naver , cpc,2
ga4-btn-home-freetrial,accounts.google.com , referral,2
ga4-btn-home-freetrial,m.search.naver.com , referral,2
