# ----------------------------------------
# 주요 이벤트: 이벤트 이름
# 계정: charlla
# 속성: charlla
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20260501
# 종료일: 20260506
이벤트 이름,첫 사용자 소스 / 매체,주요 이벤트,총 사용자,총수익
ga4-btn-home-freetrial,google / cpc,92,81,0
sign-up-create-account-social,google / cpc,88,35,0
sign-up-create-account-social,(direct) / (none),47,10,0
ga4-btn-policy-social-next,google / cpc,37,30,0
ga4-btn-gnb-freetrial,google / cpc,28,26,0
ga4-btn-shopinfo-next,google / cpc,23,13,0
sign-up-create-account-social,naver / cpc,15,4,0
start_sign_up,(direct) / (none),9,8,0
ga4-btn-policy-social-next,(direct) / (none),8,8,0
start_sign_up,google / cpc,8,5,0
ga4-btn-home-freetrial,naver / cpc,7,7,0
sign_up,(direct) / (none),7,2,0
ga4-btn-gnb-freetrial,(direct) / (none),6,2,0
ga4-btn-home-freetrial,(data not available),6,4,0
ga4-btn-shopinfo-next,(direct) / (none),6,5,0
sign_up,google / cpc,6,4,0
sign_up_create_account,(direct) / (none),5,4,0
ga4-btn-home-freetrial,(direct) / (none),4,4,0
ga4-btn-policy-social-next,naver / cpc,4,3,0
start_sign_up,google / organic,4,2,0
ga4-btn-gnb-freetrial,(data not available),3,3,0
ga4-btn-multiplayer-free,naver / cpc,3,2,0
ga4-btn-policy-next,(direct) / (none),3,3,0
sign-up-create-account-social,BS / brand_search_pc,3,1,0
sign-up-create-account-social,google / organic,3,1,0
sign-up-create-account-social,myhomesick.cafe24.com / referral,3,1,0
sign_up,cloop.cafe24.com / referral,3,1,0
sign_up_create_account,bondi1.cafe24.com / referral,3,1,0
ga4-btn-gnb-freetrial,apps.godo.co.kr / referral,2,1,0
ga4-btn-gnb-freetrial,google / organic,2,2,0
ga4-btn-home-freetrial,google / organic,2,2,0
ga4-btn-multiplayer-free,google / cpc,2,2,0
sign-up-create-account-social,naver / organic,2,1,0
sign_up,noaracos.cafe24.com / referral,2,1,0
sign_up_create_account,qwqqwq11.cafe24.com / referral,2,1,0
sign_up_create_account,wlsrn0612.cafe24.com / referral,2,1,0
ga4-btn-gnb-freetrial,GFA / Banner,1,1,0
ga4-btn-gnb-freetrial,ept0510.cafe24.com / referral,1,1,0
ga4-btn-home-footer-freetrial,GFA / Banner,1,1,0
ga4-btn-home-freetrial,BS / brand_search_pc,1,1,0
ga4-btn-home-freetrial,blog.naver.com / referral,1,1,0
ga4-btn-home-freetrial,iboss / ebook,1,1,0
ga4-btn-home-freetrial,m.search.naver.com / referral,1,1,0
ga4-btn-playlist-free,google / organic,1,1,0
ga4-btn-policy-next,ageatlabs.cafe24.com / referral,1,1,0
ga4-btn-policy-next,cafe24 / floating_banner,1,1,0
ga4-btn-policy-next,cloop.cafe24.com / referral,1,1,0
ga4-btn-policy-next,demoo15411.cafe24.com / referral,1,1,0
ga4-btn-policy-next,google / organic,1,1,0
ga4-btn-policy-next,noaracos.cafe24.com / referral,1,1,0
ga4-btn-policy-social-next,(data not available),1,1,0
ga4-btn-policy-social-next,BS / brand_search_pc,1,1,0
ga4-btn-policy-social-next,google / organic,1,1,0
ga4-btn-policy-social-next,iboss / ebook,1,1,0
ga4-btn-shopinfo-next,(data not available),1,1,0
ga4-btn-shopinfo-next,cafe24 / floating_banner,1,1,0
ga4-btn-shopinfo-next,cloop.cafe24.com / referral,1,1,0
ga4-btn-shopinfo-next,demoo15411.cafe24.com / referral,1,1,0
ga4-btn-shopinfo-next,naver / cpc,1,1,0
ga4-btn-shopinfo-next,noaracos.cafe24.com / referral,1,1,0
sign-up-create-account-social,(data not available),1,1,0
sign-up-create-account-social,gmlsendsl.cafe24.com / referral,1,1,0
sign-up-create-account-social,iboss / ebook,1,1,0
sign-up-create-account-social,pkh8585.cafe24.com / referral,1,1,0
sign_up,(data not available),1,1,0
sign_up,ageatlabs.cafe24.com / referral,1,1,0
sign_up,cafe24 / floating_banner,1,1,0
sign_up,google / organic,1,1,0
sign_up,italyjungmiso.cafe24.com / referral,1,1,0
sign_up_create_account,cafe24 / floating_banner,1,1,0
sign_up_create_account,cloop.cafe24.com / referral,1,1,0
sign_up_create_account,demoo15411.cafe24.com / referral,1,1,0
sign_up_create_account,google / organic,1,1,0
sign_up_create_account,noaracos.cafe24.com / referral,1,1,0
start_sign_up,BS / brand_search_pc,1,1,0
start_sign_up,burnscorp.cafe24.com / referral,1,1,0
start_sign_up,catenoid.net / referral,1,1,0
