# ----------------------------------------
# 사용자 획득: 신규 사용자 기본 채널 그룹(기본 채널 그룹)
# 계정: charlla
# 속성: charlla
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20260401
# 종료일: 20260430
신규 사용자 기본 채널 그룹(기본 채널 그룹),첫 사용자 소스 / 매체,총 사용자,새 사용자 수,재방문자 수,활성 사용자당 평균 참여 시간,활성 사용자당 참여 세션수,이벤트 수,주요 이벤트,사용자 주요 이벤트 비율
Paid Search,google / cpc,1445,1402,111,14.784027777777778,0.6472222222222223,15825,1338,0.41180555555555554
Display,google / cpc,1314,1173,189,19.976152623211448,0.7257551669316376,16738,1835,0.47217806041335453
Direct,(direct) / (none),1053,768,425,65.33269045323047,1.2121504339440694,24418,960,0.21697203471552556
Paid Search,naver / cpc,327,309,39,29.196923076923078,0.7569230769230769,3859,252,0.2953846153846154
Organic Search,google / organic,273,210,120,65.19485294117646,1.0073529411764706,5454,157,0.19117647058823528
Cross-network,(data not available),85,71,16,49.2289156626506,0.9879518072289156,1737,229,0.6506024096385542
Unassigned,BS / brand_search_pc,67,52,37,93.33333333333333,1.3636363636363635,1746,88,0.2727272727272727
Display,viimstudio / banner,30,25,7,36.96551724137931,0.896551724137931,486,13,0.1724137931034483
Referral,charllasample.cafe24.com / referral,22,21,6,84.63636363636364,1,363,26,0.18181818181818182
Organic Search,naver / organic,21,14,13,54.04761904761905,1.2380952380952381,479,39,0.23809523809523808
Referral,pkh8585.cafe24.com / referral,19,16,8,605.5263157894736,1.263157894736842,331,0,0
Unassigned,inblog / blog,18,17,5,45.05555555555556,1.2222222222222223,298,13,0.16666666666666666
Display,gdn / banner,17,17,0,7.529411764705882,0.11764705882352941,73,0,0
Display,cafe24 / banner,16,16,7,157.5625,1.5625,398,21,0.25
Unassigned,stibee / ebook,14,14,4,22.142857142857142,0.6428571428571429,110,2,0.14285714285714285
Referral,catenoid.net / referral,12,11,2,18.416666666666668,0.5833333333333334,105,6,0.16666666666666666
Organic Search,bing / organic,10,8,6,103.7,1.7,287,20,0.4
Organic Search,m.search.naver.com / referral,10,10,0,28.6,0.9,202,20,0.4
Unassigned,cafe24 / floating_banner,10,10,2,160.4,1.2,228,13,0.5
Referral,app.shop-pro.jp / referral,8,7,6,245.14285714285714,2.4285714285714284,405,13,0.2857142857142857
Organic Social,blog.naver.com / referral,6,4,2,71,0.8333333333333334,140,2,0.3333333333333333
Referral,apps.godo.co.kr / referral,6,6,3,93.16666666666667,0.6666666666666666,114,8,0.3333333333333333
Referral,legodtofficial.cafe24.com / referral,6,6,2,29.166666666666668,0.5,62,0,0
Referral,qhdrus123.cafe24.com / referral,6,3,5,8.666666666666666,0.8333333333333334,159,1,0.16666666666666666
Referral,store.cafe24.com / referral,6,3,5,63,1.8333333333333333,157,2,0.3333333333333333
Referral,store.makeshop.co.kr / referral,6,6,0,3.6666666666666665,0.3333333333333333,37,0,0
Referral,cjfdl8766.cafe24.com / referral,5,3,3,147.2,1,71,0,0
Referral,microkorea.cafe24.com / referral,5,5,1,102.4,0.8,80,1,0.2
Referral,ovlr01.cafe24.com / referral,5,5,3,146.4,1,108,0,0
Organic Social,ig / social,4,3,1,214.75,3.25,210,2,0.25
Paid Video,google / cpc,4,3,2,36.75,0.75,39,5,0.25
Referral,accounts.google.com / referral,4,3,0,11.5,0.75,55,11,1
Referral,api.shop-pro.jp / referral,4,0,4,441,1.25,83,3,0.75
Referral,apps.nhn-commerce.com / referral,4,0,4,131.25,2.5,208,0,0
Referral,blog.catenoid.net / referral,4,4,0,26.5,1,76,8,0.75
Referral,charlla.io / referral,4,4,0,4.75,0.25,30,0,0
Referral,eve014.cafe24.com / referral,4,4,0,145,1,46,0,0
Referral,everybo.cafe24.com / referral,4,4,1,96.5,1,75,9,0.75
Referral,exerapy.cafe24.com / referral,4,1,4,84,2,136,1,0.25
Referral,idfmall.cafe24.com / referral,4,1,4,166.5,1.75,172,4,0.5
Referral,inbcorporation.cafe24.com / referral,4,4,2,33.75,1,59,5,0.25
Referral,ksr8569.cafe24.com / referral,4,0,4,68.5,2.75,230,0,0
Referral,meliens.cafe24.com / referral,4,2,3,69.25,1.25,82,0,0
Unassigned,iboss / ebook2,4,1,2,0,0,77,0,0
Paid Shopping,naver / cpc,3,3,0,63.333333333333336,0.6666666666666666,31,0,0
Referral,adpderma.cafe24.com / referral,3,1,2,36.333333333333336,1.3333333333333333,64,2,0.3333333333333333
Referral,anne2173.cafe24.com / referral,3,2,2,13.333333333333334,0.6666666666666666,38,0,0
Referral,blackcombatstore.cafe24.com / referral,3,1,2,60,1.3333333333333333,52,0,0
Referral,bunker29.cafe24.com / referral,3,3,2,289,2.3333333333333335,117,1,0.3333333333333333
Referral,d.cafe24.com / referral,3,2,1,67,1,98,4,0.3333333333333333
Referral,dyota2082.cafe24.com / referral,3,3,1,131,1.6666666666666667,91,0,0
Referral,hangpasa03.cafe24.com / referral,3,3,2,168.66666666666666,0.6666666666666666,428,43,0.3333333333333333
Referral,jwg-web.tistory.com / referral,3,1,3,217,2.3333333333333335,153,5,0.3333333333333333
Referral,kamp65871.cafe24.com / referral,3,2,2,24,1.3333333333333333,52,3,0.6666666666666666
Referral,lingseoul2.cafe24.com / referral,3,2,2,197.66666666666666,1.6666666666666667,137,0,0
Referral,mamedler.cafe24.com / referral,3,3,1,58,1.3333333333333333,56,0,0
Referral,milliong01.cafe24.com / referral,3,1,3,13.333333333333334,0.6666666666666666,55,0,0
Referral,mocres.cafe24.com / referral,3,3,1,53.666666666666664,1.6666666666666667,60,5,0.3333333333333333
Referral,nextgoods.cafe24.com / referral,3,2,2,12.666666666666666,1,37,0,0
Referral,quat.cafe24.com / referral,3,1,3,80.33333333333333,2,97,0,0
Referral,zigtag.cafe24.com / referral,3,3,1,37,0.6666666666666666,34,0,0
Unassigned,naverblog / blog,3,3,0,10.666666666666666,0.6666666666666666,25,0,0
Unassigned,openads / article,3,3,0,29.333333333333332,0.6666666666666666,24,0,0
Display,kmong / banner,2,1,1,6.5,0.5,10,0,0
Organic Search,naver / brand_search_m,2,2,0,36.5,1,29,1,0.5
Organic Search,yahoo / organic,2,2,1,201,1,38,0,0
Organic Social,instagram / ebook2,2,2,0,0,0.5,10,0,0
Referral,asas2855.cafe24.com / referral,2,0,2,84.5,2.5,153,0,0
Referral,avelora.cafe24.com / referral,2,2,0,129.5,1,36,5,0.5
Referral,balimall.cafe24.com / referral,2,1,1,3,0,13,0,0
Referral,bedfordcof.cafe24.com / referral,2,2,1,784,1,67,5,0.5
Referral,betterlab1.cafe24.com / referral,2,2,2,229.5,2.5,78,13,0.5
Referral,board.worksmobile.com / referral,2,0,2,169.5,1.5,86,1,0.5
Referral,bonjourcc.cafe24.com / referral,2,2,0,37.5,1,28,0,0
Referral,br.nate.com / referral,2,2,1,38,2,71,0,0
Referral,cgimall.co.kr / referral,2,2,1,288.5,1.5,146,18,1
Referral,chatgpt.com / referral,2,0,2,151.5,3.5,146,0,0
Referral,choco27.cafe24.com / referral,2,0,2,31,1,40,3,0.5
Referral,cncom0812.cafe24.com / referral,2,0,2,39.5,1.5,74,0,0
Referral,convenii.cafe24.com / referral,2,0,1,11,2,41,0,0
Referral,dibambi.cafe24.com / referral,2,1,2,167.5,1,66,1,0.5
Referral,dipliti.cafe24.com / referral,2,0,2,85.5,1.5,50,0,0
